title,youtube_id,keyword,standard_domain,standard_cluster,grade,Jurisdiction Hierarchy 2
Distributive property,uu0Cchc7T14,CC.3.OA.5,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,3,Developmental Math
The Distributive Property,gl_-E6iVAg4,CC.3.OA.5,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,3,Developmental Math
The Distributive Property 2,Badvask-UDU,CC.3.OA.5,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,3,Developmental Math
Division 2,8Ft5iHhauJ0,CC.3.OA.6,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,3,Arithmetic
Division 3: More long division and remainder examples,NcADzGz3bSI,CC.3.OA.6,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,3,Arithmetic
Finding Factors of a Number,vcn2ruTOwFo,CC.3.OA.6,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,3,Developmental Math
Division 2,8Ft5iHhauJ0,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Arithmetic
Division 1,MTzTqvzWzm8,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Arithmetic
Lattice Multiplication,gS6TfWUv97I,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Arithmetic
Multiplication 2: The Multiplication Tables,xO_1bYgoQvA,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Arithmetic
Division 3: More long division and remainder examples,NcADzGz3bSI,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Arithmetic
Why Lattice Multiplication Works,S3z4XqC_YSc,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Arithmetic
Dividing Whole Numbers and Applications 1,4I9iibPLdBw,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Developmental Math
Dividing Whole Numbers and Applications 2,chWcaZSLmHE,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Developmental Math
Multiplying Whole Numbers and Applications 2,0WUXQNjdRvM,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Developmental Math
Dividing Whole Numbers and Applications 3,qoDJwyyD_pg,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Developmental Math
Multiplying Whole Numbers and Applications 1,Yw3EoxC_GXU,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Developmental Math
Recognizing Divisibility,2G_Jr_XpnY4,CC.3.OA.7,Operations and Algebraic Thinking,Multiply and divide within 100.,3,Developmental Math
Multiplying Whole Numbers and Applications 4,tx2Niw7aJJ8,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Rounding to Estimate Sums 2,j21X53Rwqt4,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Rounding to Estimate Differences,XBarsXzUtuE,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Rounding to Estimate Sums,lNfZQNWZklI,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Rounding Whole Numbers 1,_qzs1zozTBo,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Rounding Whole Numbers 2,fh8gkPW_6g4,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Rounding Whole Numbers 3,3jBfLaLrk6I,CC.3.OA.8,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Developmental Math
Multiplication 2: The Multiplication Tables,xO_1bYgoQvA,CC.3.OA.9,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3,Arithmetic
Angles (part 3),NLg6hfoKKlE,CC.4.G.1,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4,Geometry
Acute Right and Obtuse Angles,ALhv3Rlydig,CC.4.G.1,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4,Geometry
Introduction to angles,2439OIVBgPg,CC.4.G.1,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4,Geometry
Introduction to angles,2439OIVBgPg,CC.4.G.2,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4,Geometry
,#N/A,CC.4.G.3,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4,
