title,youtube_id,keyword,standard_domain,standard_cluster,grade,Jurisdiction Hierarchy 2
Determining the equation of a trigonometric function,yvW5l9W1hgE,CC.9-12.F-TF.5,Trigonometric Functions,Model periodic phenomena with trigonometric functions,12-Sep,Trigonometry
More trig graphs,NIG3l8oWKYE,CC.9-12.F-TF.5,Trigonometric Functions,Model periodic phenomena with trigonometric functions,12-Sep,Trigonometry
Graphs of trig functions,QmxMPPkZpME,CC.9-12.F-TF.5,Trigonometric Functions,Model periodic phenomena with trigonometric functions,12-Sep,Trigonometry
Graphs of trig functions,QmxMPPkZpME,CC.9-12.F-TF.6,Trigonometric Functions,Model periodic phenomena with trigonometric functions,12-Sep,Trigonometry
Polar Coordinates 1,jexMSlSDubM,CC.9-12.F-TF.7,Trigonometric Functions,Model periodic phenomena with trigonometric functions,12-Sep,Trigonometry
Inverse Trig Functions: Arcsin,JGU74wbZMLg,CC.9-12.F-TF.7,Trigonometric Functions,Model periodic phenomena with trigonometric functions,12-Sep,Trigonometry
Fun Trig Problem,itpI12TeNIg,CC.9-12.F-TF.8,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
Trigonometric Identities,OLzXqIqZZz0,CC.9-12.F-TF.8,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
IIT JEE Trigonometric Constraints,EjtjdJZ2x8w,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
IIT JEE Trigonometric Maximum,tzR9jUCSniQ,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
Trigonometric System Example,Y2ed-g8Lpdc,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
IIT JEE Trigonometry Problem 1,X7GT9JKoAbo,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
Proof: sin(a+b)  = (cos a)(sin b) + (sin a)(cos b),zw0waJCEc-w,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
Proof: cos(a+b) = (cos a)(cos b)-(sin a)(sin b),V3-xCPDzQ1Q,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
Trigonometry Identity Review/Fun,a70-dYvDJZY,CC.9-12.F-TF.9,Trigonometric Functions,Prove and apply trigonometric identities,12-Sep,Trigonometry
,#N/A,CC.9-12.G-C.1,Circles,Understand and apply theorems about circles,12-Sep,
Area of Inscribed Equilateral Triangle (some basic trig used),UmiZK6Hgm6c,CC.9-12.G-C.2,Circles,Understand and apply theorems about circles,12-Sep,Geometry
Right Triangles Inscribed in Circles (Proof),b0U1NxbRU4w,CC.9-12.G-C.2,Circles,Understand and apply theorems about circles,12-Sep,Geometry
An inscribed angle is half of a central angle that subtends the same arc,MyzGVbCHh5M,CC.9-12.G-C.2,Circles,Understand and apply theorems about circles,12-Sep,Geometry
2003 AIME II Problem 7,jpKjXtywTlQ,CC.9-12.G-C.3,Circles,Understand and apply theorems about circles,12-Sep,Geometry
Area of Inscribed Equilateral Triangle (some basic trig used),UmiZK6Hgm6c,CC.9-12.G-C.3,Circles,Understand and apply theorems about circles,12-Sep,Geometry
Triangle Medians and Centroids,GiGLhXFBtRg,CC.9-12.G-C.3,Circles,Understand and apply theorems about circles,12-Sep,Geometry
An inscribed angle is half of a central angle that subtends the same arc,MyzGVbCHh5M,CC.9-12.G-C.3,Circles,Understand and apply theorems about circles,12-Sep,Geometry
,#N/A,CC.9-12.G-C.4,Circles,Understand and apply theorems about circles,12-Sep,
,#N/A,CC.9-12.G-C.5,Circles,Find arc lengths and areas of sectors of circles,12-Sep,
Parallel Lines,T-aCweuimis,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Algebra I Worked Examples
Parallel Lines 2,lOWXZFP8Vuc,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Algebra I Worked Examples
Parallel lines 3,y5yNi08cr6I,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Algebra I Worked Examples
Perpendicular Lines,0671cRNjeKI,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Algebra I Worked Examples
Perpendicular lines 2,TsEhZRT16LU,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Algebra I Worked Examples
Slope of Perpendicular Line,h0SURLIImqk,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Developmental Math 2
Parallel Line Equation,4Cmv7dUgggU,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Developmental Math 2
Area of a circle,tCrDyJsSFok,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Geometry
"Circles: Radius, Diameter and Circumference",jyLRpr2P0MQ,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Geometry
Introduction to angles,2439OIVBgPg,CC.9-12.G-CO.1,Congruence,Experiment with transformations in the plane,12-Sep,Geometry
Part 1 of Proof of Heron's Formula,AreOMvPCxv8,CC.9-12.G-CO.10,Congruence,Prove geometric theorems,12-Sep,Geometry
Part 2 of the Proof of Heron's Formula,nZu7IZLhJRI,CC.9-12.G-CO.10,Congruence,Prove geometric theorems,12-Sep,Geometry
Triangle Medians and Centroids,GiGLhXFBtRg,CC.9-12.G-CO.10,Congruence,Prove geometric theorems,12-Sep,Geometry
Triangle Medians and Centroids (2D Proof),Vc09LURoMQ8,CC.9-12.G-CO.10,Congruence,Prove geometric theorems,12-Sep,Geometry
Heron's Formula,#NAME?,CC.9-12.G-CO.10,Congruence,Prove geometric theorems,12-Sep,Geometry
Rhombus Diagonals,_QTFeOvPcbY,CC.9-12.G-CO.11,Congruence,Prove geometric theorems,12-Sep,Geometry
,#N/A,CC.9-12.G-CO.12,Congruence,Make geometric constructions,12-Sep,
2003 AIME II Problem 7,jpKjXtywTlQ,CC.9-12.G-CO.13,Congruence,Make geometric constructions,12-Sep,Geometry
,#N/A,CC.9-12.G-CO.2,Congruence,Experiment with transformations in the plane,12-Sep,
,#N/A,CC.9-12.G-CO.3,Congruence,Experiment with transformations in the plane,12-Sep,
,#N/A,CC.9-12.G-CO.4,Congruence,Experiment with transformations in the plane,12-Sep,
,#N/A,CC.9-12.G-CO.5,Congruence,Experiment with transformations in the plane,12-Sep,
,#N/A,CC.9-12.G-CO.6,Congruence,Understand congruence in terms of rigid motions,12-Sep,
,#N/A,CC.9-12.G-CO.7,Congruence,Understand congruence in terms of rigid motions,12-Sep,
,#N/A,CC.9-12.G-CO.8,Congruence,Understand congruence in terms of rigid motions,12-Sep,
Angles of parallel lines 2,0eDwckZOffc,CC.9-12.G-CO.9,Congruence,Prove geometric theorems,12-Sep,Geometry
Cylinder Volume and Surface Area,gL3HxBQyeg0,CC.9-12.G-GMD.1,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,12-Sep,Geometry
Introduction to rate-of-change problems,Zyq6TmQVBxk,CC.9-12.G-GMD.1,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,12-Sep,Calculus
,#N/A,CC.9-12.G-GMD.2,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,12-Sep,
Applying Radical Equations 3,npUtXLjTnxg,CC.9-12.G-GMD.3,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,12-Sep,Algebra I Worked Examples
Multiplying and Dividing Monomials 2,Rtje3kbC9lM,CC.9-12.G-GMD.3,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,12-Sep,Algebra I Worked Examples
Cylinder Volume and Surface Area,gL3HxBQyeg0,CC.9-12.G-GMD.3,Geometric Measurement and Dimension,Explain volume formulas and use them to solve problems,12-Sep,Geometry
,#N/A,CC.9-12.G-GMD.4,Geometric Measurement and Dimension,Visualize relationships between two-dimensional and three-dimensional objects,12-Sep,
Conic Sections: Intro to Circles,6r1GQCxyMKI,CC.9-12.G-GPE.1,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Focus and Directrix of a Parabola 2,1Jm9rREA-uA,CC.9-12.G-GPE.2,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Parabola Focus and Directrix 1,ZJf9shWlMz0,CC.9-12.G-GPE.2,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Foci of an Ellipse,QR2vxfwiHAU,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Conic Sections: Hyperbolas 2,hl58vTCqVIY,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Conic Sections: Intro to Hyperbolas,pzSyOTkAsY4,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Conic Sections: Intro to Ellipses,lvAYFUIEpFI,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Foci of a Hyperbola,S0Fd2Tg2v7M,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Conic Sections: Hyperbolas 3,lGQw-W1PxBE,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
Proof: Hyperbola Foci,HPRFmu7JsKU,CC.9-12.G-GPE.3,Expressing Geometric Properties with Equations,Translate between the geometric description and the equation for a conic section,12-Sep,Algebra
,#N/A,CC.9-12.G-GPE.4,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,
Parallel Lines,T-aCweuimis,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Algebra I Worked Examples
Parallel Lines 2,lOWXZFP8Vuc,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Algebra I Worked Examples
Parallel lines 3,y5yNi08cr6I,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Algebra I Worked Examples
Perpendicular Lines,0671cRNjeKI,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Algebra I Worked Examples
Perpendicular lines 2,TsEhZRT16LU,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Algebra I Worked Examples
Solving systems by graphing 3,F5Nb6cIRZLU,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Algebra I Worked Examples
Equations of Parallel and Perpendicular Lines,9hryH94KFJA,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,ck12.org Algebra 1 Examples
Slope of Perpendicular Line,h0SURLIImqk,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Developmental Math 2
Parallel Line Equation,4Cmv7dUgggU,CC.9-12.G-GPE.5,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,Developmental Math 2
Midpoint Formula,Ez_-RwV9WVo,CC.9-12.G-GPE.6,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,ck12.org Algebra 1 Examples
Distance Formula,nyZuite17Pc,CC.9-12.G-GPE.7,Expressing Geometric Properties with Equations,Use coordinates to prove simple geometric theorems algebraically,12-Sep,ck12.org Algebra 1 Examples
,#N/A,CC.9-12.G-MG.1,Modeling with Geometry,Apply geometric concepts in modeling situations,12-Sep,
,#N/A,CC.9-12.G-MG.2,Modeling with Geometry,Apply geometric concepts in modeling situations,12-Sep,
,#N/A,CC.9-12.G-MG.3,Modeling with Geometry,Apply geometric concepts in modeling situations,12-Sep,
,#N/A,CC.9-12.G-SRT.1,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,12-Sep,
,#N/A,CC.9-12.G-SRT.1.a,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,12-Sep,
,#N/A,CC.9-12.G-SRT.1.b,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,12-Sep,
Proof: Law of Sines,APNkWrD-U1k,CC.9-12.G-SRT.10,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Law of cosines,pGaDcOMdw48,CC.9-12.G-SRT.10,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Navigation Word Problem,XTWZ_M8d-4g,CC.9-12.G-SRT.10,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Proof: Law of Sines,APNkWrD-U1k,CC.9-12.G-SRT.11,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Law of cosines,pGaDcOMdw48,CC.9-12.G-SRT.11,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Ferris Wheel Trig Problem (part 2),_Kw4hLGMkm4,CC.9-12.G-SRT.11,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Navigation Word Problem,XTWZ_M8d-4g,CC.9-12.G-SRT.11,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Ferris Wheel Trig Problem,clXSqjs1wgQ,CC.9-12.G-SRT.11,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
,#N/A,CC.9-12.G-SRT.2,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,12-Sep,
,#N/A,CC.9-12.G-SRT.3,"Similarity, Right Triangles, and Trigonometry",Understand similarity in terms of similarity transformations,12-Sep,
Visual Pythagorean Theorem Proof,r382kfkqAF4,CC.9-12.G-SRT.4,"Similarity, Right Triangles, and Trigonometry",Prove theorems involving similarity,12-Sep,ck12.org Algebra 1 Examples
,#N/A,CC.9-12.G-SRT.5,"Similarity, Right Triangles, and Trigonometry",Prove theorems involving similarity,12-Sep,
IIT JEE Trigonometric Constraints,EjtjdJZ2x8w,CC.9-12.G-SRT.6,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Using Trig Functions Part II,RoXmKYjpLGk,CC.9-12.G-SRT.6,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Basic Trigonometry II,G-T_6hCdMQc,CC.9-12.G-SRT.6,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Basic Trigonometry,Jsiy4TxgIME,CC.9-12.G-SRT.6,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Unit Circle Definition of Trig Functions,ZffZvSH285c,CC.9-12.G-SRT.6,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Fun Trig Problem,itpI12TeNIg,CC.9-12.G-SRT.7,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Graphs of trig functions,QmxMPPkZpME,CC.9-12.G-SRT.7,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Proof: sin(a+b)  = (cos a)(sin b) + (sin a)(cos b),zw0waJCEc-w,CC.9-12.G-SRT.7,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Proof: cos(a+b) = (cos a)(cos b)-(sin a)(sin b),V3-xCPDzQ1Q,CC.9-12.G-SRT.7,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
The unit circle definition of trigonometric function,6Qv_bPlQS8E,CC.9-12.G-SRT.7,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Pythagorean Theorem 1,JVrkLIcA2qw,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Algebra I Worked Examples
Pythagorean Theorem 2,O64YFlX1_aI,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Algebra I Worked Examples
Pythagorean Theorem 3,T0IOrRETWhI,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Algebra I Worked Examples
Intro to 30-60-90 Triangles,Qwet4cIpnCM,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Geometry
45-45-90 Triangles,tSHitjFIjd8,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Geometry
The Pythagorean Theorem,AA6RfgP-AHU,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Geometry
30-60-90 Triangles II,3mLUJSoh6i0,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Geometry
Pythagorean Theorem II,nMhJLn5ives,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Geometry
IIT JEE Trigonometric Constraints,EjtjdJZ2x8w,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
IIT JEE Trigonometric Maximum,tzR9jUCSniQ,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Trigonometric System Example,Y2ed-g8Lpdc,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
IIT JEE Trigonometry Problem 1,X7GT9JKoAbo,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Using Trig Functions Part II,RoXmKYjpLGk,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Basic Trigonometry II,G-T_6hCdMQc,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Polar Coordinates 2,zGpbSGj_vfE,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Basic Trigonometry,Jsiy4TxgIME,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Ferris Wheel Trig Problem (part 2),_Kw4hLGMkm4,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Trigonometry word problems (part 1),1vamogV81Y8,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Trigonometry word problems (part 2),4CNnPgabrLE,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Navigation Word Problem,XTWZ_M8d-4g,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Ferris Wheel Trig Problem,clXSqjs1wgQ,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Graph of the sine function,2zoiW4PdVKo,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
Using Trig Functions,znR9tW4AiZI,CC.9-12.G-SRT.8,"Similarity, Right Triangles, and Trigonometry",Define trigonometric ratios and solve problems involving right triangles,12-Sep,Trigonometry
2003 AIME II Problem 11.avi,smtrrefmC40,CC.9-12.G-SRT.9,"Similarity, Right Triangles, and Trigonometry",Apply trigonometry to general triangles,12-Sep,Trigonometry
Complex Numbers (Part 1),kpywdu1afas,CC.9-12.N-CN.1,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Algebra
Introduction to i and Imaginary Numbers,ysVcAYo7UPI,CC.9-12.N-CN.1,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Algebra
Basic Complex Analysis,FwuPXchH2rA,CC.9-12.N-CN.1,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Pre-calculus
Complex Numbers (Part 1),kpywdu1afas,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Algebra
Associative Law of Multiplication,5RzDVNob0-0,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Developmental Math
Associative property for multiplication,fUgkIcx82xY,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Developmental Math
Commutative Law of Addition,HwSszh3L358,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Developmental Math
Commutative Law of Multiplication,ENKH97PYssg,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Developmental Math
Commutative Property for Addition,UeG_EYd-0xw,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Developmental Math
Basic Complex Analysis,FwuPXchH2rA,CC.9-12.N-CN.2,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Pre-calculus
Complex Numbers (Part 2),bPqB9a1uk_8,CC.9-12.N-CN.3,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Algebra
Complex Conjugates,dbxJ6LD0344,CC.9-12.N-CN.3,The Complex Number System,Perform arithmetic operations with complex numbers,12-Sep,Pre-calculus
Basic Complex Analysis,FwuPXchH2rA,CC.9-12.N-CN.4,The Complex Number System,Represent complex numbers and their operations on the complex plane,12-Sep,Pre-calculus
Exponential form to find complex roots,N0Y8ia57C24,CC.9-12.N-CN.4,The Complex Number System,Represent complex numbers and their operations on the complex plane,12-Sep,Pre-calculus
Basic Complex Analysis,FwuPXchH2rA,CC.9-12.N-CN.5,The Complex Number System,Represent complex numbers and their operations on the complex plane,12-Sep,Pre-calculus
,#N/A,CC.9-12.N-CN.6,The Complex Number System,Represent complex numbers and their operations on the complex plane,12-Sep,
Solving Quadratic Equations by Factoring.avi,2ZzuZvz33X0,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Solving Quadratic Equations by Factoring 2.avi,04RpkdaNzr8,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Solving Quadratic Equations by Factoring 3.avi,vl9o9XEfXtw,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Quadratic Functions 1,CuPgmA7ytWA,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Quadratic Functions 2,dfoXtodyiIA,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Quadratic Functions 3,TgKBc3Igx1I,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Quadratic Formula 1,iulx0z1lz8M,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Quadratic Formula 2,CLrImGKeuEI,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Quadratic Formula 3,XUvKjC21fYU,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Applying Quadratic Functions 1,Zoa485PqK_M,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Applying Quadratic Functions 2,HtN86WyZ6zY,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Applying Quadratic Functions 3,huZBkYgGrKo,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Non-Linear Systems of Equations 1,hjigR_rHKDI,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Non-Linear Systems of Equations 2,XPf8LMu7QSw,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Non-Linear Systems of Equations 3,FksgVpM_iXs,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Solving Rational Equations 3,5wUJLMWZ5Fw,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Algebra I Worked Examples
Evaluating a polynomial at a given value,03yq7XsErqo,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Developmental Math
Simply a polynomial,vN0aL-_vIKM,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Developmental Math
Terms coefficients and exponents in a polynomial,REiDXCN0lGU,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Developmental Math
Solving quadratics by factoring,uktzcTg_N7U,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Developmental Math 2
Applications Problem Factoring Quadratics,STcsaKuW-24,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Developmental Math 2
Fun Trig Problem,itpI12TeNIg,CC.9-12.N-CN.7,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,Trigonometry
,#N/A,CC.9-12.N-CN.8,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,
,#N/A,CC.9-12.N-CN.9,The Complex Number System,Use complex numbers in polynomial identities and equations,12-Sep,
Mixture problems 1,5Dzdrb8MKBg,CC.9-12.N-Q.1,Quantities,Reason quantitatively and use units to solve problems,12-Sep,Algebra I Worked Examples
Mixture problems 2,OBVGQt1Eeug,CC.9-12.N-Q.1,Quantities,Reason quantitatively and use units to solve problems,12-Sep,Algebra I Worked Examples
Mixture problems 3,JVlfQEhzLMM,CC.9-12.N-Q.1,Quantities,Reason quantitatively and use units to solve problems,12-Sep,Algebra I Worked Examples
